study_name	sample_id	subject_id	target_condition	target_condition_ontology_term_id	body_site	body_site_ontology_term_id	host_species	host_species_ontology_term_id	control	control_ontology_term_id	age	age_group	age_group_ontology_term_id	age_unit	age_unit_ontology_term_id	sex	sex_ontology_term_id	disease	disease_ontology_term_id	curator	pmid	sequencing_platform
SchonhoffA_2023	CALTEC-001-SPF_P1_F3	CALTEC-001-SPF_P1_F3	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Case	NCIT:C49152	20	NA	NA	Week	NCIT:C29844	Female	NCIT:C16576	NA	NA	Kaelyn Long	37365181	IlluminaNovaSeq
SchonhoffA_2023	CALTEC-001-SPF_P1_F4	CALTEC-001-SPF_P1_F4	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Case	NCIT:C49152	20	NA	NA	Week	NCIT:C29844	Female	NCIT:C16576	NA	NA	Kaelyn Long	37365181	IlluminaNovaSeq
SchonhoffA_2023	CALTEC-001-SPF_P1_F5	CALTEC-001-SPF_P1_F5	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Case	NCIT:C49152	20	NA	NA	Week	NCIT:C29844	Female	NCIT:C16576	NA	NA	Kaelyn Long	37365181	IlluminaNovaSeq
SchonhoffA_2023	CALTEC-001-SPF_P1_F6	CALTEC-001-SPF_P1_F6	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Case	NCIT:C49152	20	NA	NA	Week	NCIT:C29844	Female	NCIT:C16576	NA	NA	Kaelyn Long	37365181	IlluminaNovaSeq
SchonhoffA_2023	CALTEC-001-SPF_P1_M1	CALTEC-001-SPF_P1_M1	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Case	NCIT:C49152	20	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	37365181	IlluminaNovaSeq
SchonhoffA_2023	CALTEC-001-SPF_P1_M2	CALTEC-001-SPF_P1_M2	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Case	NCIT:C49152	20	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	37365181	IlluminaNovaSeq
SchonhoffA_2023	CALTEC-001-SPF_P1_M3	CALTEC-001-SPF_P1_M3	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Case	NCIT:C49152	20	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	37365181	IlluminaNovaSeq
SchonhoffA_2023	CALTEC-001-SPF_P1_M4	CALTEC-001-SPF_P1_M4	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Case	NCIT:C49152	20	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	37365181	IlluminaNovaSeq
SchonhoffA_2023	CALTEC-001-SPF_P1_M5	CALTEC-001-SPF_P1_M5	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Case	NCIT:C49152	20	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	37365181	IlluminaNovaSeq
SchonhoffA_2023	CALTEC-001-SPF_P1_M6	CALTEC-001-SPF_P1_M6	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Case	NCIT:C49152	20	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	37365181	IlluminaNovaSeq
SchonhoffA_2023	CALTEC-001-HC_B6_F1	CALTEC-001-HC_B6_F1	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	20	NA	NA	Week	NCIT:C29844	Female	NCIT:C16576	NA	NA	Kaelyn Long	37365181	IlluminaNovaSeq
SchonhoffA_2023	CALTEC-001-HC_B6_F2	CALTEC-001-HC_B6_F2	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	20	NA	NA	Week	NCIT:C29844	Female	NCIT:C16576	NA	NA	Kaelyn Long	37365181	IlluminaNovaSeq
SchonhoffA_2023	CALTEC-001-HC_B6_F3	CALTEC-001-HC_B6_F3	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	20	NA	NA	Week	NCIT:C29844	Female	NCIT:C16576	NA	NA	Kaelyn Long	37365181	IlluminaNovaSeq
SchonhoffA_2023	CALTEC-001-HC_B6_F4	CALTEC-001-HC_B6_F4	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	20	NA	NA	Week	NCIT:C29844	Female	NCIT:C16576	NA	NA	Kaelyn Long	37365181	IlluminaNovaSeq
SchonhoffA_2023	CALTEC-001-HC_B6_F5	CALTEC-001-HC_B6_F5	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	20	NA	NA	Week	NCIT:C29844	Female	NCIT:C16576	NA	NA	Kaelyn Long	37365181	IlluminaNovaSeq
SchonhoffA_2023	CALTEC-001-HC_B6_M1	CALTEC-001-HC_B6_M1	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	20	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	37365181	IlluminaNovaSeq
SchonhoffA_2023	CALTEC-001-HC_B6_M2	CALTEC-001-HC_B6_M2	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	20	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	37365181	IlluminaNovaSeq
SchonhoffA_2023	CALTEC-001-HC_B6_M3	CALTEC-001-HC_B6_M3	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	20	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	37365181	IlluminaNovaSeq
SchonhoffA_2023	CALTEC-001-HC_B6_M4	CALTEC-001-HC_B6_M4	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	20	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	37365181	IlluminaNovaSeq
SchonhoffA_2023	CALTEC-001-HC_B6_M5	CALTEC-001-HC_B6_M5	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	20	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	37365181	IlluminaNovaSeq
SchonhoffA_2023	CALTEC-001-HC_B6_M6	CALTEC-001-HC_B6_M6	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	20	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	37365181	IlluminaNovaSeq
SchonhoffA_2023	CALTEC-001-HC_P1_F1	CALTEC-001-HC_P1_F1	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Case	NCIT:C49152	20	NA	NA	Week	NCIT:C29844	Female	NCIT:C16576	NA	NA	Kaelyn Long	37365181	IlluminaNovaSeq
SchonhoffA_2023	CALTEC-001-HC_P1_F2	CALTEC-001-HC_P1_F2	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Case	NCIT:C49152	20	NA	NA	Week	NCIT:C29844	Female	NCIT:C16576	NA	NA	Kaelyn Long	37365181	IlluminaNovaSeq
SchonhoffA_2023	CALTEC-001-HC_P1_F3	CALTEC-001-HC_P1_F3	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Case	NCIT:C49152	20	NA	NA	Week	NCIT:C29844	Female	NCIT:C16576	NA	NA	Kaelyn Long	37365181	IlluminaNovaSeq
SchonhoffA_2023	CALTEC-001-HC_P1_F4	CALTEC-001-HC_P1_F4	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Case	NCIT:C49152	20	NA	NA	Week	NCIT:C29844	Female	NCIT:C16576	NA	NA	Kaelyn Long	37365181	IlluminaNovaSeq
SchonhoffA_2023	CALTEC-001-HC_P1_F5	CALTEC-001-HC_P1_F5	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Case	NCIT:C49152	20	NA	NA	Week	NCIT:C29844	Female	NCIT:C16576	NA	NA	Kaelyn Long	37365181	IlluminaNovaSeq
SchonhoffA_2023	CALTEC-001-HC_P1_F6	CALTEC-001-HC_P1_F6	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Case	NCIT:C49152	20	NA	NA	Week	NCIT:C29844	Female	NCIT:C16576	NA	NA	Kaelyn Long	37365181	IlluminaNovaSeq
SchonhoffA_2023	CALTEC-001-HC_P1_M1	CALTEC-001-HC_P1_M1	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Case	NCIT:C49152	20	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	37365181	IlluminaNovaSeq
SchonhoffA_2023	CALTEC-001-HC_P1_M2	CALTEC-001-HC_P1_M2	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Case	NCIT:C49152	20	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	37365181	IlluminaNovaSeq
SchonhoffA_2023	CALTEC-001-HC_P1_M3	CALTEC-001-HC_P1_M3	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Case	NCIT:C49152	20	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	37365181	IlluminaNovaSeq
SchonhoffA_2023	CALTEC-001-HC_P1_M4	CALTEC-001-HC_P1_M4	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Case	NCIT:C49152	20	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	37365181	IlluminaNovaSeq
SchonhoffA_2023	CALTEC-001-HC_P1_M5	CALTEC-001-HC_P1_M5	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Case	NCIT:C49152	20	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	37365181	IlluminaNovaSeq
SchonhoffA_2023	CALTEC-001-HC_P1_M6	CALTEC-001-HC_P1_M6	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Case	NCIT:C49152	20	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	37365181	IlluminaNovaSeq
